4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T08:17:00Z;2127.2;2127.2;2127.2;2127.2;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T09:26:00Z;2126.9;2126.9;2126.9;2126.9;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T09:49:00Z;2127.8;2127.8;2127.8;2127.8;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T09:56:00Z;2127.9;2127.9;2127.9;2127.9;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T11:28:00Z;2126;2126;2126;2126;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T11:32:00Z;2125;2125.8;2125.8;2125;2;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T12:36:00Z;2124;2124;2124;2124;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T12:37:00Z;2123.8;2123.8;2123.8;2123.8;5;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T13:10:00Z;2124;2124;2124;2124;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T13:26:00Z;2125;2125;2125;2125;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T13:31:00Z;2122;2122;2122;2122;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T13:36:00Z;2121.3;2121.3;2121.3;2121.3;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T13:59:00Z;2121;2121;2121;2121;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T14:31:00Z;2126;2126;2126;2126;2;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T16:43:00Z;2124.5;2124.5;2124.5;2124.5;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T16:58:00Z;2126;2126;2126;2126;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T17:01:00Z;2127.2;2127.2;2127.2;2127.2;1;
4d84b0be-2bde-44f4-b7bc-a20bf4c531cf;2024-02-08T17:34:00Z;2128;2128;2128;2128;1;
